Player,Team,Pos,# of Top 5 Szns,# of Top 12 Szns,# of Top 24 Szns,Draft,Age,Draft Year,Cr.Year,SZN Year,POS RK,PPG POS RK,TEAM POS RK,GMs,Opps,TGT%,EPG,FPOE/G,aDot,Yd/TMAtt / G,PPG (PPR),TD Rate (YD/TD),Dominator (rec),Opportunity Share (% of team - non qb - RuAtt and Tgts),PPR,.5ppr,STD,SIXPT,FFPC,DK,FD,Snaps,Snap%,Tgt,Tgt Shr,Att,% Tm Att,Opps,% Tm Opps,Yards,Att,Comp,Comp%,TD,Int,Yd/Att,Rating,Total,Completed,Conv%,AY/Att,EP,FPOE,PaEP,PaFPOE,ruEP,ruFPOE,reEP,reFPOE,Att,Yards,TD,RUSH TD% (TD/ATT),YPC,% Tm Att,FumL,Tgt,Rec,Yards,TD,TD% (REC/TD,YPR,Yd/Tgt,TGT%,AirYards,AY/Tgt,YAC,RACR,Airyards %,WOPR,AirYAC (AY+YAC),
Brandon Banks,WAS,WR,0.00,0.00,0.00,329,23,2010,1,2010,159,179,7,13,7,1.00%,0.66,0.08,17.00,0.02,0.74,0.00,0.2%,1.1%,9.6,8.6,7.6,9.6,9.6,9.6,8.6,0,NA,5,0.01,2,0.01,7,0.01,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,8.6,1,0,0,1,-0.4,7.6,-4.6,2,6,0,0.00%,3,0.01,0,5,2,10,0,0.00%,5,2,0.01,85,17,-2,0.12,0.02,0.03,83,Brandon Banks1
Brandon James,IND,WR,0.00,0.00,0.00,329,23,2010,1,2010,158,132,6,3,11,8.00%,5.80,-2.47,7.40,0.20,3.33,0.00,0.9%,1.3%,10,7,4,10,10,10,7,0,NA,11,0.08,0,0,11,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,17.4,-7.4,0,0,0,0,17.4,-7.4,0,0,0,0.00%,NA,0,0,11,6,40,0,0.00%,6.7,3.6,0.08,81,7.4,14,0.49,0.07,0.17,95,Brandon James1
Brandon LaFell,CAR,WR,0.00,0.00,1.00,78,24,2010,1,2010,76,91,3,14,79,19.00%,8.62,-1.71,10.20,0.66,6.91,528.00,23.2%,11.7%,96.8,77.8,58.8,96.8,96.8,96.8,77.8,0,NA,77,0.19,1,0,78,0.1,0,1,0,0,0,0,0,39.6,-4,0,0,-4,120.7,-23.9,0,0,0.6,5.4,120.1,-29.3,1,60,0,0.00%,60,0,0,77,38,468,1,1.30%,12.3,6.1,0.19,784,10.2,128,0.6,0.27,0.47,912,Brandon LaFell1
Britt Davis,DEN,WR,0.00,0.00,0.00,329,24,2010,1,2010,202,202,7,1,0,0.00%,0.00,0.00,NA,0.00,0.00,0.00,0.0%,0.0%,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,0,0,0,0,0,0,0,0,0,0,0,0.00%,NA,0,0,0,0,0,0,0.00%,NA,NA,0,0,NA,0,NA,0,0,0,Britt Davis1
Carlton Mitchell,CLE,WR,0.00,0.00,0.00,177,22,2010,1,2010,184,175,6,1,2,3.00%,1.80,-0.90,12.00,0.17,0.90,0.00,0.0%,0.3%,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0,NA,1,0.03,1,0.03,2,0.03,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,1.8,-0.9,0,0,0.4,0.5,1.3,-1.3,1,9,0,0.00%,9,0.03,0,1,0,0,0,0.00%,NA,0,0.03,12,12,0,0,0.06,0.09,12,Carlton Mitchell1
Chad Hall,PHI,WR,0.00,0.00,0.00,329,24,2010,1,2010,124,114,4,7,27,8.00%,5.83,-1.34,10.60,0.33,4.49,144.00,4.6%,4.2%,31.4,25.9,20.4,31.4,31.4,31.4,25.9,0,NA,18,0.08,9,0.05,27,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,40.8,-9.4,0,0,9.9,-7.1,30.8,-2.3,9,29,0,0.00%,3.2,0.05,0,18,11,115,1,5.56%,10.5,6.4,0.08,191,10.6,16,0.6,0.09,0.17,207,Chad Hall1
Damian Williams,TEN,WR,0.00,0.00,0.00,77,22,2010,1,2010,119,118,6,9,29,10.00%,4.88,-0.61,11.30,0.45,4.27,0.00,6.1%,4.3%,38.4,30.4,22.4,38.4,38.4,38.4,30.4,0,NA,28,0.1,1,0,29,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,43.9,-5.5,0,0,0,0.5,43.9,-6,1,5,0,0.00%,5,0,0,28,16,219,0,0.00%,13.7,7.8,0.1,317,11.3,40,0.69,0.1,0.23,357,Damian Williams1
Danario Alexander,LAR,WR,0.00,0.00,0.00,329,24,2010,1,2010,104,88,4,8,37,14.00%,7.34,-0.26,12.50,0.60,7.08,306.00,11.5%,4.7%,56.6,46.6,36.6,56.6,56.6,56.6,46.6,0,NA,37,0.14,0,0,37,0.08,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,58.7,-2.1,0,0,0,0,58.7,-2.1,0,0,0,0.00%,NA,0,0,37,20,306,1,2.70%,15.3,8.3,0.14,462,12.5,113,0.66,0.24,0.38,575,Danario Alexander1
David Gettis,CAR,WR,0.00,0.00,0.00,198,23,2010,1,2010,69,89,2,15,70,15.00%,6.93,0.14,11.30,0.60,7.07,170.00,35.8%,10.5%,106,87.5,69,106,106,109,87.5,0,NA,67,0.15,3,0.01,70,0.08,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,103.9,2.1,0,0,1.1,-1,102.6,3.2,3,2,0,0.00%,0.7,0.01,0,67,37,508,3,4.48%,13.7,7.6,0.15,759,11.3,160,0.67,0.26,0.42,919,David Gettis1
David Nelson,BUF,WR,0.00,0.00,0.00,329,24,2010,1,2010,82,100,5,14,47,10.00%,5.34,0.69,9.80,0.49,6.02,117.67,16.7%,6.7%,84.3,68.8,53.3,84.3,84.3,84.3,68.8,0,NA,47,0.1,0,0,47,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,74.7,9.6,0,0,0,0,74.7,9.6,0,0,0,0.00%,NA,0,0,47,31,353,3,6.38%,11.4,7.5,0.1,460,9.8,77,0.77,0.12,0.24,537,David Nelson1
