Player,Team,Pos,# of Top 5 Szns,# of Top 12 Szns,# of Top 24 Szns,Draft,Age,Draft Year,Cr.Year,SZN Year,POS RK,PPG POS RK,TEAM POS RK,GMs,Opps,TGT%,EPG,FPOE/G,aDot,Yd/TMAtt / G,PPG (PPR),TD Rate (YD/TD),Dominator (rec),Opportunity Share (% of team - non qb - RuAtt and Tgts),PPR,.5ppr,STD,SIXPT,FFPC,DK,FD,Snaps,Snap%,Tgt,Tgt Shr,Att,% Tm Att,Opps,% Tm Opps,Yards,Att,Comp,Comp%,TD,Int,Yd/Att,Rating,Total,Completed,Conv%,AY/Att,EP,FPOE,PaEP,PaFPOE,ruEP,ruFPOE,reEP,reFPOE,Att,Yards,TD,RUSH TD% (TD/ATT),YPC,% Tm Att,FumL,Tgt,Rec,Yards,TD,TD% (REC/TD,YPR,Yd/Tgt,TGT%,AirYards,AY/Tgt,YAC,RACR,Airyards %,WOPR,AirYAC (AY+YAC),
Keenan Allen,LAC,WR,1.00,4.00,5.00,76,22,2013,2,2014,36,30,1,14,121,25.00%,13.75,-0.94,8.50,0.93,12.81,195.75,24.7%,17.5%,179.3,140.8,102.3,179.3,179.3,186.3,136.8,836,0.92,121,0.25,0,0,121,0.15,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,192.5,-13.2,0,0,0,0,192.5,-13.2,0,0,0,0.00%,NA,0,2,121,77,783,4,3.31%,10.2,6.5,0.25,1031,8.5,303,0.76,0.26,0.56,1334,Keenan Allen2
Kelvin Benjamin,CAR,WR,0.00,0.00,1.00,28,23,2014,1,2014,16,19,1,16,145,27.00%,14.94,-0.71,14.00,0.99,14.24,112.00,48.2%,22.7%,227.8,191.3,154.8,227.8,227.8,235.8,189.3,925,0.84,145,0.27,0,0,145,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,239.1,-11.3,0,0,0,0,239.1,-11.3,0,0,0,0.00%,NA,0,1,145,73,1008,9,6.21%,13.8,7,0.27,2023,14,178,0.5,0.38,0.67,2201,Kelvin Benjamin1
Kendall Wright,TEN,WR,0.00,0.00,1.00,20,25,2012,3,2014,41,33,1,14,97,21.00%,10.61,1.53,8.50,1.01,12.14,128.17,34.2%,16.6%,169.9,141.4,112.9,169.9,169.9,171.9,139.4,663,0.79,93,0.21,4,0.01,97,0.13,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,148.5,21.4,0,0,2.4,3,146.1,18.4,4,54,0,0.00%,13.5,0.01,1,93,57,715,6,6.45%,12.5,7.7,0.21,795,8.5,363,0.9,0.19,0.46,1158,Kendall Wright3
Mike Evans,TB,WR,1.00,2.00,7.00,7,21,2014,1,2014,13,13,1,15,123,25.00%,13.32,3.02,14.70,1.27,16.34,87.58,59.2%,18.6%,245.1,211.1,177.1,245.1,245.1,254.1,211.1,769,0.83,123,0.25,0,0,123,0.15,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,199.8,45.3,0,0,0,0,199.8,45.3,0,0,0,0.00%,NA,0,0,123,68,1051,12,9.76%,15.5,8.5,0.25,1814,14.7,177,0.58,0.35,0.62,1991,Mike Evans1
Mike Williams,BUF,WR,0.00,0.00,2.00,101,27,2010,5,2014,128,121,4,8,19,7.00%,4.16,-0.64,14.40,0.29,3.53,142.00,5.8%,2.7%,28.2,24.2,20.2,28.2,28.2,28.2,24.2,188,0.37,19,0.07,0,0,19,0.04,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,33.3,-5.1,0,0,0,0,33.3,-5.1,0,0,0,0.00%,NA,0,0,19,8,142,1,5.26%,17.8,7.5,0.07,273,14.4,35,0.52,0.13,0.2,308,Mike Williams5
Odell Beckham Jr.,NYG,WR,2.00,3.00,4.00,12,22,2014,1,2014,8,1,1,12,138,28.00%,18.86,5.89,11.50,1.69,24.75,111.67,49.0%,16.7%,297,251.5,206,297,297,317,249.5,771,0.91,130,0.28,7,0.02,137,0.18,0,1,0,0,0,0,0,39.6,51,0,0,51,226.3,70.7,3,-3,3.8,-0.3,219.5,74,7,35,0,0.00%,5,0.02,1,130,91,1305,12,9.23%,14.3,10,0.28,1496,11.5,486,0.87,0.38,0.69,1982,Odell Beckham Jr.1
Randall Cobb,GB,WR,0.00,1.00,2.00,64,24,2011,4,2014,7,8,2,16,138,24.00%,14.33,4.26,8.90,1.36,18.59,110.33,44.7%,18.6%,297.4,251.9,206.4,297.4,297.4,310.4,247.9,922,0.88,127,0.24,11,0.03,138,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,229.2,68.2,0,0,9.9,-6.2,219.2,74.5,11,37,0,0.00%,3.4,0.03,2,127,91,1287,12,9.45%,14.1,10.1,0.24,1135,8.9,584,1.13,0.26,0.54,1719,Randall Cobb4
Rishard Matthews,MIA,WR,0.00,0.00,1.00,227,25,2012,3,2014,118,131,5,14,23,4.00%,2.76,-0.06,12.00,0.16,2.70,69.00,7.0%,3.3%,37.8,31.8,25.8,37.8,37.8,37.8,31.8,210,0.22,22,0.04,1,0,23,0.03,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,38.6,-0.8,0,0,-0.1,0.4,38.7,-1.2,1,3,0,0.00%,3,0,0,22,12,135,2,9.09%,11.2,6.1,0.04,264,12,38,0.51,0.07,0.11,302,Rishard Matthews3
Robert Woods,BUF,WR,0.00,1.00,3.00,41,22,2013,2,2014,45,53,2,16,104,18.00%,10.41,0.02,9.50,0.71,10.43,139.80,28.9%,15.0%,166.9,134.4,101.9,166.9,166.9,168.9,132.4,899,0.85,104,0.18,0,0,104,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,166.6,0.3,0,0,0,0,166.6,0.3,0,0,0,0.00%,NA,0,1,104,65,699,5,4.81%,10.8,6.7,0.18,991,9.5,184,0.71,0.23,0.44,1175,Robert Woods2
Sammy Watkins,BUF,WR,0.00,0.00,1.00,4,21,2014,1,2014,27,32,1,16,130,22.00%,12.73,-0.23,13.30,1.01,12.50,165.00,38.4%,18.8%,200,167.5,135,200,200,211,165.5,1026,0.97,128,0.22,2,0,130,0.13,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,203.6,-3.6,0,0,1.2,-0.4,202.4,-3.2,2,8,0,0.00%,4,0,1,128,65,982,6,4.69%,15.1,7.7,0.22,1703,13.3,343,0.58,0.4,0.62,2046,Sammy Watkins1
T.Y. Hilton,IND,WR,1.00,2.00,5.00,92,25,2012,3,2014,11,10,1,15,133,22.00%,14.16,3.21,13.70,1.35,17.37,195.00,35.1%,18.7%,260.5,219.5,178.5,260.5,260.5,277.5,217.5,831,0.76,131,0.22,2,0,133,0.13,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,212.4,48.1,0,0,3.3,-1.3,209.2,49.3,2,20,0,0.00%,10,0,1,131,82,1345,7,5.34%,16.4,10.3,0.22,1793,13.7,366,0.75,0.32,0.55,2159,T.Y. Hilton3
Torrey Smith,BAL,WR,0.00,0.00,1.00,58,25,2011,4,2014,29,34,2,16,92,17.00%,9.49,2.49,15.00,0.77,11.98,69.73,39.6%,12.8%,191.7,167.2,142.7,191.7,191.7,191.7,167.2,788,0.73,92,0.17,0,0,92,0.09,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,151.8,39.9,0,0,0,0,151.8,39.9,0,0,0,0.00%,NA,0,0,92,49,767,11,11.96%,15.7,8.3,0.17,1376,15,169,0.56,0.3,0.46,1545,Torrey Smith4
Victor Cruz,NYG,WR,1.00,1.00,2.00,329,28,2010,5,2014,99,52,3,6,41,21.00%,10.87,-0.42,10.80,0.85,10.45,337.00,9.2%,5.0%,62.7,51.2,39.7,62.7,62.7,68.7,51.2,372,0.89,41,0.21,0,0,41,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,65.2,-2.5,0,0,0,0,65.2,-2.5,0,0,0,0.00%,NA,0,0,41,23,337,1,2.44%,14.7,8.2,0.21,442,10.8,174,0.76,0.29,0.52,616,Victor Cruz5
A.J. Green,CIN,WR,2.00,4.00,6.00,4,27,2011,5,2015,8,12,1,16,132,27.00%,13.93,3.31,12.80,1.33,17.23,129.70,48.0%,19.3%,275.7,232.7,189.7,275.7,275.7,286.7,230.7,932,0.88,132,0.27,0,0,132,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,222.8,52.9,0,0,0,0,222.8,52.9,0,0,0,0.00%,NA,0,1,132,86,1297,10,7.58%,15.1,9.8,0.27,1687,12.8,336,0.77,0.38,0.67,2023,A.J. Green5
Adam Humphries,TB,WR,0.00,0.00,1.00,329,22,2015,1,2015,100,111,4,13,40,9.00%,5.18,-0.64,6.80,0.32,4.54,260.00,8.7%,5.6%,59,45.5,32,59,59,59,45.5,438,0.48,40,0.09,0,0,40,0.05,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,67.3,-8.3,0,0,0,0,67.3,-8.3,0,0,0,0.00%,NA,0,0,40,27,260,1,2.50%,9.6,6.5,0.09,270,6.8,123,0.96,0.06,0.18,393,Adam Humphries1
Adam Thielen,MIN,WR,0.00,3.00,3.00,329,25,2013,3,2015,129,153,4,16,22,4.00%,2.13,0.08,9.90,0.25,2.21,0.00,4.4%,3.3%,35.3,29.3,23.3,35.3,35.3,35.3,29.3,218,0.21,18,0.04,4,0.01,22,0.02,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,34.1,1.2,0,0,6.3,2.6,27.7,-1.3,4,89,0,0.00%,22.2,0.01,0,18,12,144,0,0.00%,12,8,0.04,179,9.9,42,0.8,0.05,0.1,221,Adam Thielen3
Allen Hurns,JAC,WR,0.00,0.00,1.00,329,24,2014,2,2015,19,23,2,15,105,19.00%,11.88,3.26,11.50,1.11,15.14,103.10,37.3%,15.0%,227.1,195.1,163.1,227.1,227.1,241.1,193.1,865,0.87,105,0.19,0,0,105,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,178.2,48.9,0,0,0,0,178.2,48.8,0,0,0,0.00%,NA,0,1,105,64,1031,10,9.52%,16.1,9.8,0.19,1204,11.5,368,0.86,0.23,0.44,1572,Allen Hurns2
Allen Robinson,JAC,WR,0.00,3.00,3.00,61,22,2014,2,2015,6,8,1,16,151,25.00%,16.23,2.78,14.90,1.41,19.00,100.00,51.2%,21.6%,304,264,224,304,304,322,264,983,0.93,151,0.25,0,0,151,0.16,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,259.6,44.4,0,0,0,0,259.6,44.4,0,0,0,0.00%,NA,0,0,151,80,1400,14,9.27%,17.5,9.3,0.25,2245,14.9,356,0.62,0.4,0.66,2601,Allen Robinson2
Alshon Jeffery,CHI,WR,0.00,2.00,3.00,45,25,2012,4,2015,44,11,1,9,94,31.00%,16.86,0.78,14.60,1.52,17.63,201.75,30.5%,13.3%,158.7,131.7,104.7,158.7,158.7,170.7,131.7,506,0.81,94,0.31,0,0,94,0.16,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,151.7,7,0,0,0,0,151.7,7,0,0,0,0.00%,NA,0,0,94,54,807,4,4.26%,14.9,8.6,0.31,1373,14.6,175,0.59,0.51,0.83,1548,Alshon Jeffery4
Amari Cooper,LV,WR,0.00,1.00,5.00,4,21,2015,1,2015,21,28,2,16,133,22.00%,12.83,0.59,10.30,1.10,13.42,177.83,34.2%,18.6%,214.7,178.7,142.7,214.7,214.7,228.7,176.7,902,0.85,130,0.22,3,0.01,133,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,205.2,9.5,0,0,2.1,-2.4,203.2,13,3,-3,0,0.00%,-1,0.01,1,130,72,1070,6,4.62%,14.9,8.2,0.22,1340,10.3,385,0.8,0.28,0.52,1725,Amari Cooper1
Antonio Brown,PIT,WR,6.00,6.00,7.00,195,27,2010,6,2015,1,1,1,16,196,33.00%,20.03,4.48,11.00,1.90,24.51,186.20,57.4%,26.0%,392.2,324.2,256.2,392.2,392.2,417.2,320.2,1029,0.96,193,0.33,3,0.01,196,0.2,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,320.5,71.7,0,0,1.6,1.2,318.9,65.2,3,28,0,0.00%,9.3,0.01,2,193,136,1834,10,5.18%,13.5,9.5,0.33,2116,11,594,0.87,0.36,0.75,2710,Antonio Brown6
Brandin Cooks,NO,WR,0.00,1.00,5.00,20,22,2014,2,2015,14,20,1,16,137,19.00%,13.24,2.61,11.90,1.08,15.85,128.44,35.6%,18.7%,253.6,211.6,169.6,253.6,253.6,265.6,211.6,959,0.83,129,0.19,8,0.02,137,0.13,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,211.8,41.8,0,0,3.3,-1.5,208.5,43.3,8,18,0,0.00%,2.2,0.02,0,129,84,1138,9,6.98%,13.5,8.8,0.19,1531,11.9,366,0.74,0.3,0.5,1897,Brandin Cooks2
Brandon LaFell,NE,WR,0.00,0.00,1.00,78,29,2010,6,2015,81,67,3,11,76,17.00%,10.58,-2.45,13.70,0.75,8.13,0.00,10.7%,11.6%,89.4,70.9,52.4,89.4,89.4,92.4,70.9,660,0.87,74,0.17,2,0.01,76,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,116.4,-27,0,0,1.3,-0.4,115,-26.5,2,9,0,0.00%,4.5,0.01,0,74,37,515,0,0.00%,13.9,7,0.17,1011,13.7,224,0.51,0.28,0.45,1235,Brandon LaFell6
Davante Adams,GB,WR,2.00,3.00,5.00,53,23,2014,2,2015,70,66,3,13,94,20.00%,11.89,-3.72,10.10,0.59,8.18,483.00,14.2%,13.0%,106.3,81.3,56.3,106.3,106.3,106.3,81.3,763,0.79,94,0.2,0,0,94,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,154.6,-48.3,0,0,0,0,154.6,-47.1,0,0,0,0.00%,NA,0,0,94,50,483,1,1.06%,9.7,5.1,0.2,953,10.1,136,0.51,0.24,0.47,1089,Davante Adams2
DeAndre Hopkins,HOU,WR,5.00,5.00,6.00,27,23,2013,3,2015,4,5,1,16,192,31.00%,19.51,1.19,14.10,1.45,20.69,138.27,56.2%,22.2%,331.1,275.6,220.1,331.1,331.1,349.1,275.6,1150,0.97,192,0.31,0,0,192,0.18,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,312.1,19,0,0,0,0,312.1,19,0,0,0,0.00%,NA,0,0,192,111,1521,11,5.73%,13.7,7.9,0.31,2708,14.1,231,0.56,0.45,0.79,2939,DeAndre Hopkins3
DeVante Parker,MIA,WR,0.00,1.00,1.00,14,22,2015,1,2015,79,86,3,14,50,10.00%,6.40,0.27,13.80,0.63,6.67,164.67,18.1%,7.6%,93.4,80.4,67.4,93.4,93.4,96.4,80.4,468,0.52,50,0.1,0,0,50,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,89.6,3.8,0,0,0,0,89.6,3.8,0,0,0,0.00%,NA,0,0,50,26,494,3,6.00%,19,9.9,0.1,692,13.8,103,0.71,0.15,0.25,795,DeVante Parker1
Demaryius Thomas,DEN,WR,3.00,4.00,6.00,22,28,2010,6,2015,10,15,1,16,177,29.00%,17.91,-0.94,10.50,1.28,16.96,217.33,45.4%,22.5%,271.4,218.9,166.4,271.4,271.4,281.4,214.9,936,0.84,177,0.29,0,0,177,0.17,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,286.5,-15.1,0,0,0,0,286.5,-15.1,0,0,0,0.00%,NA,0,2,177,105,1304,6,3.39%,12.4,7.4,0.29,1856,10.5,470,0.7,0.34,0.68,2326,Demaryius Thomas6
Devin Funchess,CAR,WR,0.00,0.00,1.00,41,21,2015,1,2015,66,84,4,16,63,13.00%,6.84,-0.08,12.80,0.46,6.77,94.60,19.4%,9.5%,108.3,92.8,77.3,108.3,108.3,110.3,90.8,492,0.45,63,0.13,0,0,63,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,109.5,-1.2,0,0,0,0,109.5,-1.2,0,0,0,0.00%,NA,0,1,63,31,473,5,7.94%,15.3,7.5,0.13,809,12.8,112,0.58,0.15,0.3,921,Devin Funchess1
Dez Bryant,DAL,WR,2.00,3.00,5.00,24,27,2010,6,2015,82,54,1,9,72,25.00%,13.69,-3.79,12.90,0.86,9.90,133.67,20.3%,10.8%,89.1,73.6,58.1,89.1,89.1,92.1,73.6,446,0.8,72,0.25,0,0,72,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,123.2,-34.1,0,0,0,0,123.2,-34.1,0,0,0,0.00%,NA,0,0,72,31,401,3,4.17%,12.9,5.6,0.25,930,12.9,141,0.43,0.42,0.67,1071,Dez Bryant6
Doug Baldwin,SEA,WR,0.00,2.00,3.00,329,27,2011,5,2015,11,17,1,16,103,22.00%,10.62,6.19,9.50,1.09,16.81,76.36,47.8%,16.3%,268.9,229.9,190.9,268.9,268.9,277.9,229.9,799,0.74,103,0.22,0,0,103,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,169.9,99,0,0,0,0,169.9,99,0,0,0,0.00%,NA,0,0,103,78,1069,14,13.59%,13.7,10.4,0.22,975,9.5,444,1.1,0.24,0.49,1419,Doug Baldwin5
Emmanuel Sanders,DEN,WR,1.00,1.00,4.00,82,28,2010,6,2015,18,22,2,15,140,24.00%,14.20,1.03,13.90,1.22,15.23,194.00,41.5%,17.8%,228.4,190.4,152.4,228.4,228.4,238.4,186.4,859,0.83,137,0.24,3,0.01,140,0.15,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,213,15.4,0,0,3.2,-0.3,209.9,15.6,3,29,0,0.00%,9.7,0.01,2,137,76,1135,6,4.38%,14.9,8.3,0.24,1902,13.9,387,0.6,0.36,0.61,2289,Emmanuel Sanders6
Eric Decker,NYJ,WR,0.00,2.00,3.00,87,28,2010,6,2015,13,14,2,15,132,24.00%,15.20,1.78,11.50,1.04,16.98,85.58,42.8%,15.8%,254.7,214.7,174.7,254.7,254.7,256.7,212.7,906,0.88,132,0.24,0,0,132,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,228,26.7,0,0,0,0,228,26.7,0,0,0,0.00%,NA,0,1,132,80,1027,12,9.09%,12.8,7.8,0.24,1520,11.5,214,0.68,0.3,0.58,1734,Eric Decker6
Golden Tate,DET,WR,0.00,2.00,4.00,60,27,2010,6,2015,24,30,2,16,135,21.00%,13.76,-0.54,5.90,0.87,13.21,142.33,27.3%,17.5%,211.4,166.4,121.4,211.4,211.4,210.4,164.4,925,0.86,129,0.21,6,0.02,135,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,220.1,-8.7,0,0,4.3,-0.2,215.7,-8.4,6,41,0,0.00%,6.8,0.02,1,129,90,813,6,4.65%,9,6.3,0.21,767,5.9,526,1.06,0.18,0.44,1293,Golden Tate6
Jarvis Landry,MIA,WR,1.00,3.00,5.00,63,23,2014,2,2015,9,13,1,16,186,29.00%,18.94,-1.73,7.40,1.42,17.22,255.80,36.2%,28.2%,275.45,220.45,165.45,275.45,275.45,284.36,220.36,868,0.84,167,0.29,18,0.05,185,0.2,9,1,1,1,0,0,9,104.2,3,3,1,3,303.1,-27.7,1.9,-1.5,19.3,-2.3,281.9,-29,18,113,1,5.56%,6.3,0.05,0,167,110,1157,4,2.40%,10.5,6.9,0.29,1228,7.4,538,0.94,0.24,0.6,1766,Jarvis Landry2
John Brown,ARI,WR,0.00,0.00,1.00,91,25,2014,2,2015,25,27,2,15,104,20.00%,11.59,2.37,14.70,1.08,13.97,146.43,31.0%,13.0%,209.5,177,144.5,209.5,209.5,214.5,175,826,0.81,101,0.2,3,0.01,104,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,173.9,35.6,0,0,1.9,0.3,172,35.3,3,22,0,0.00%,7.3,0.01,1,101,65,1003,7,6.93%,15.4,9.9,0.2,1482,14.7,324,0.68,0.27,0.48,1806,John Brown2
Jordan Matthews,PHI,WR,0.00,0.00,1.00,42,23,2014,2,2015,16,24,1,16,128,21.00%,13.24,1.31,8.30,0.94,14.54,124.63,40.4%,18.3%,232.7,190.2,147.7,232.7,232.7,243.7,188.2,919,0.79,128,0.21,0,0,128,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,211.8,20.9,0,0,0,0,211.8,20.9,0,0,0,0.00%,NA,0,1,128,85,997,8,6.25%,11.7,7.8,0.21,1061,8.3,414,0.94,0.25,0.48,1475,Jordan Matthews2
Julio Jones,ATL,WR,3.00,7.00,8.00,6,26,2011,5,2015,2,2,1,16,203,33.00%,20.89,2.68,10.10,1.80,23.57,207.89,66.0%,28.3%,377.1,309.1,241.1,377.1,377.1,403.1,307.1,970,0.85,203,0.33,0,0,203,0.2,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,334.2,42.9,0,0,0,0,334.2,36.9,0,0,1,0.00%,NA,0,1,203,136,1871,8,3.94%,13.8,9.2,0.33,2059,10.1,641,0.91,0.43,0.79,2700,Julio Jones5
Kasen Williams,SEA,WR,0.00,0.00,1.00,329,23,2015,1,2015,192,183,6,2,2,1.00%,1.30,-0.15,5.00,0.11,1.15,0.00,0.2%,0.3%,2.3,1.8,1.3,2.3,2.3,2.3,1.8,28,0.19,1,0.01,1,0.02,2,0.02,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,2.6,-0.3,0,0,1.2,-0.7,1.5,0.3,1,5,0,0.00%,5,0.02,0,1,1,8,0,0.00%,8,8,0.01,5,5,3,1.6,0.01,0.03,8,Kasen Williams1
Keenan Allen,LAC,WR,1.00,4.00,5.00,76,23,2013,3,2015,43,6,1,8,89,25.00%,17.48,2.96,7.60,1.37,20.44,181.25,21.6%,12.7%,163.5,130,96.5,163.5,163.5,171.5,128,543,0.9,89,0.25,0,0,89,0.16,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,139.8,23.7,0,0,0,0,139.8,23.7,0,0,0,0.00%,NA,0,1,89,67,725,4,4.49%,10.8,8.1,0.25,677,7.6,236,1.07,0.29,0.58,913,Keenan Allen3
Kendall Wright,TEN,WR,0.00,0.00,1.00,20,26,2012,4,2015,76,56,1,10,65,17.00%,10.46,-0.81,11.70,0.75,9.65,141.67,16.6%,11.8%,96.5,78.5,60.5,96.5,96.5,99.5,78.5,413,0.62,60,0.17,5,0.02,65,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,104.6,-8.1,0,0,4.3,-2.6,100.4,-5.6,5,17,0,0.00%,3.4,0.02,0,60,36,408,3,5.00%,11.3,6.8,0.17,701,11.7,143,0.58,0.23,0.42,844,Kendall Wright4
Marvin Jones,CIN,WR,0.00,1.00,2.00,166,25,2012,4,2015,37,47,2,16,108,21.00%,11.03,-0.16,13.00,0.87,10.87,212.25,26.5%,15.8%,173.9,141.4,108.9,173.9,173.9,173.9,141.4,901,0.85,103,0.21,5,0.01,108,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,176.5,-2.6,0,0,4.8,-1.5,171.8,-1.2,5,33,0,0.00%,6.6,0.01,0,103,65,816,4,3.88%,12.6,7.9,0.21,1336,13,283,0.61,0.3,0.53,1619,Marvin Jones4
Mike Evans,TB,WR,1.00,2.00,7.00,7,22,2014,2,2015,22,26,1,15,148,30.00%,16.27,-2.10,14.60,1.30,14.17,402.00,36.7%,20.9%,212.6,175.6,138.6,212.6,212.6,227.6,175.6,858,0.84,148,0.3,0,0,148,0.16,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,244.1,-31.5,0,0,0,0,244.1,-31,0,0,0,0.00%,NA,0,0,148,74,1206,3,2.03%,16.3,8.1,0.3,2155,14.6,234,0.56,0.43,0.75,2389,Mike Evans2
Nelson Agholor,PHI,WR,0.00,0.00,1.00,20,22,2015,1,2015,102,116,3,13,44,9.00%,5.55,-1.14,10.90,0.33,4.41,283.00,8.7%,6.3%,57.3,45.8,34.3,57.3,57.3,53.3,37.8,670,0.73,44,0.09,0,0,44,0.05,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,72.1,-14.8,0,0,0,0,72.1,-15.2,0,0,0,0.00%,NA,0,4,44,23,283,1,2.27%,12.3,6.4,0.09,480,10.9,91,0.59,0.14,0.23,571,Nelson Agholor1
Odell Beckham Jr.,NYG,WR,2.00,3.00,4.00,12,23,2014,2,2015,5,4,1,15,159,27.00%,17.29,3.99,11.60,1.51,21.29,111.77,50.2%,21.5%,319.3,271.3,223.3,319.3,319.3,343.3,271.3,999,0.95,158,0.27,1,0,159,0.17,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,259.4,59.9,0,0,0.7,-0.4,258.7,60.7,1,3,0,0.00%,3,0,0,158,96,1450,13,8.23%,15.1,9.2,0.27,1829,11.6,594,0.79,0.41,0.7,2423,Odell Beckham Jr.2
Randall Cobb,GB,WR,0.00,1.00,2.00,64,25,2011,5,2015,26,31,1,16,142,23.00%,14.50,-1.44,7.60,0.87,13.06,125.57,31.4%,19.6%,208.9,169.4,129.9,208.9,208.9,211.9,169.4,1050,0.91,129,0.23,13,0.03,142,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,232,-23.1,0,0,7.6,-2.6,224.2,-26.3,13,50,1,7.69%,3.8,0.03,0,129,79,829,6,4.65%,10.5,6.4,0.23,974,7.6,436,0.85,0.21,0.49,1410,Randall Cobb5
Rishard Matthews,MIA,WR,0.00,0.00,1.00,227,26,2012,4,2015,53,38,2,11,62,15.00%,9.55,2.59,11.40,1.08,12.15,166.50,24.3%,9.5%,133.6,112.1,90.6,133.6,133.6,139.6,112.1,520,0.73,61,0.15,1,0,62,0.1,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,105.1,28.5,0,0,1.3,-0.9,103.8,29.4,1,4,0,0.00%,4,0,0,61,43,662,4,6.56%,15.4,10.9,0.15,696,11.4,230,0.95,0.2,0.36,926,Rishard Matthews4
Robert Woods,BUF,WR,0.00,1.00,3.00,41,23,2013,3,2015,58,62,3,14,81,19.00%,8.96,-0.38,10.40,0.66,8.59,184.00,19.9%,11.6%,120.2,96.7,73.2,120.2,120.2,122.2,94.7,774,0.83,80,0.19,1,0,81,0.1,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,125.5,-5.3,0,0,0.7,-0.7,124.8,-4.6,1,0,0,0.00%,0,0,1,80,47,552,3,3.75%,11.7,6.9,0.19,833,10.4,150,0.66,0.19,0.42,983,Robert Woods3
Sammy Watkins,BUF,WR,0.00,0.00,1.00,4,22,2014,2,2015,20,16,1,13,97,27.00%,12.02,4.82,16.70,1.34,16.83,116.44,44.1%,13.9%,218.8,188.8,158.8,218.8,218.8,233.8,188.8,715,0.82,96,0.27,1,0,97,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,156.2,62.6,0,0,0.9,-0.8,155.3,63.4,1,1,0,0.00%,1,0,0,96,60,1047,9,9.38%,17.4,10.9,0.27,1605,16.7,179,0.65,0.42,0.69,1784,Sammy Watkins2
Stefon Diggs,MIN,WR,1.00,2.00,4.00,146,22,2015,1,2015,48,44,1,13,87,23.00%,10.12,1.36,10.60,0.97,11.48,183.25,36.5%,13.1%,149.3,123.3,97.3,149.3,149.3,155.3,123.3,654,0.77,84,0.23,3,0.01,87,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,131.6,17.7,0,0,1.8,-0.5,129.7,18.3,3,13,0,0.00%,4.3,0.01,0,84,52,720,4,4.76%,13.8,8.6,0.23,890,10.6,292,0.81,0.33,0.57,1182,Stefon Diggs1
